keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
app blocker,50,False,61,229,4,336995391565|338198674266|338320917676|334335784926,productivity,1778831847.470314
fitness tracker,49,False,83,240,4,6720448|338147689315|335673431116|338320917676,health-and-fitness,1778832364.403957
scanner app,49,False,81,221,2,5980452|334458121859,business,1778832945.054317
rizz,49,False,62,229,1,336359375481,lifestyle,1778832918.877215
scan documents,49,False,80,236,1,5980452,business,1778832918.877244
schedule planner,49,False,75,235,1,337735210211,photo-and-video,1778832945.054322
gym workout,48,False,75,240,5,281015303312|39942537961|338147689315|335673431116|333801633226,health-and-fitness,1778832423.5539572
glow up,48,False,53,213,2,337102239169|337148924360,lifestyle,1778832423.553947
pomodoro,48,False,60,238,2,338407302861|338267477251,productivity,1778832818.364759
expense tracker,47,False,65,242,8,333823223169|27241585014|40913510877|281584684358|41540288277,finance,1778832263.56446
money manager,47,False,60,234,3,40913510877|281584684358|280716098271,finance,1778832666.666413
daily planner,47,False,68,242,1,337735210211,photo-and-video,1778832150.300023
period calendar,46,False,78,205,5,334449832036|41565369835|337564157854|337473086504|336802133684,health-and-fitness,1778832734.402847
looksmaxxing,46,False,50,228,3,337304024617|337102239169|337148924360,lifestyle,1778832555.0295901
money tracker,45,False,63,239,2,333823223169|281584684358,finance,1778832666.6664162
agenda,45,False,71,233,1,337735210211,photo-and-video,1778831793.381943
pill reminder,45,False,54,218,1,214104401,medical,1778832792.183122
quit smoking,45,False,62,212,1,335832412120,productivity,1778832865.9396741
poster maker,44,False,68,226,2,16120807211|281076697413,graphics-and-design,1778832818.3647768
gym tracker,44,False,72,246,1,6720448,health-and-fitness,1778832423.553956
study timer,43,False,59,243,3,338407302861|40035508212|338267477251,productivity,1778833025.541365
mile tracker,42,False,83,227,2,27241585014|41540288277,finance,1778832639.393279
love counter,42,False,60,218,1,6451702,lifestyle,1778832555.0295959
3d scanner,41,False,55,237,1,280389744699,utilities,1778831760.824943
iphone wallpapers,41,False,80,229,1,286113330412,graphics-and-design,1778832528.037021
looksmax,40,False,52,236,3,337304024617|337102239169|337148924360,lifestyle,1778832555.0295858
brain training,40,False,78,222,1,39940687114,education,1778831980.631116
menstrual cycle tracker,39,False,75,216,2,337564157854|337473086504,health-and-fitness,1778832610.840092
photo enhancer,39,False,67,227,1,337374356753,photo-and-video,1778832764.0635788
workout app,39,False,81,241,1,338320917676,productivity,1778833182.03372
daily horoscope,37,False,68,195,3,280422884636|333889757967|14013665,lifestyle,1778832150.3000178
breastfeeding tracker,37,False,67,225,1,280983995884,medical,1778832008.433713
tarot cards,37,False,62,213,1,337352385605,lifestyle,1778833050.270329
alarm app,36,False,68,204,1,266417844442,lifestyle,1778831818.318719
picture collage,35,False,83,223,1,338510507470,graphics-and-design,1778832792.1831198
subscription tracker,35,False,42,242,1,280716098271,finance,1778833025.541368
fertility tracker,33,False,76,220,6,334449832036|41565369835|337564157854|337473086504|336802133684,health-and-fitness,1778832333.875008
budgeting app,33,False,70,239,3,40913510877|281584684358|9354933,finance,1778832008.433731
bill tracker,33,False,58,226,2,40913510877|280716098271,finance,1778831955.390927
exercise tracker,33,False,80,235,2,281015303312|338147689315,health-and-fitness,1778832263.564456
anniversary tracker,33,False,60,229,1,6451702,lifestyle,1778831847.4702961
gratitude journal,33,False,65,232,1,280046956981,lifestyle,1778832423.553952
home screen customizer,33,False,81,205,1,333890705980,graphics-and-design,1778832479.9709241
website blocker,33,False,50,195,1,338198674266,productivity,1778833128.757301
